folder,date,author,name,val_bpb,val_bpb_std,artifact_bytes,seeds,hardware,quantization,compression,technique_summary
2026-03-19_WarmdownQuantization,2026-03-20,samuellarson,Int6 MLP3x Sliding Window,1.1574404,,15977717,,,,,Int6 post-training quantization enables 3x MLP expansion (21.8M params in 16MB). Combined with train@2048 + sliding wind
2026-03-19_Seq2048_FP16Emb_TunedLR,2026-03-19,yahya010,10L Int6 QAT + Zstd MLP2.6x Muon0.99 Sliding Window,1.15861696,,15558319,,,,,"10-layer 512dim SP-1024, STE int6 QAT (zero quant gap), full int6 [-31,31] + zstd-22, MLP hidden=1344, fp16 tied embeddi"
2026-03-19_MixedQuant_Int6Int8_SlidingWindow,2026-03-19,aquariouseworkman,"Mixed Quant (int6 blocks + int8 embeddings) + Sliding Window Eval, val_bpb=1.1630",1.16301431,,15353490,,,,,"3x MLP expansion with mixed-precision quantization: int6 per-row (31 levels) on STE-protected block weights, int8 per-ro"
2026-03-19_SlidingWindowEval,2026-03-19,Matthew Li,Sliding Window Eval (stride=64),1.19250007,,15874829,,,,,Baseline 9x512 SP-1024 architecture with sliding window evaluation at stride=64. Each token is scored with 960+ tokens o
2026-03-17_LoRA_TTT,2026-03-19,sam,LoRA TTT,1.1929,,15882446,,,,,"Naive baseline + per-document LoRA test-time training at eval. Rank-8 LoRA on lm_head/Q/V with Adam lr=0.01, overlapping"
2026-03-19_TrainingOptSeq4096,2026-03-19,Spokane Way,Training Opt Seq4096 v1,1.20143417,,15868326,,,,,"SP-1024 9x512 KV4 run at TRAIN_SEQ_LEN=4096 with aggressively tuned Muon optimizer: momentum 0.99, lower LR (0.020/0.020"
2026-03-18_LongContextSeq2048,2026-03-19,Spokane Way,Long Context Seq2048 v2,1.20576485,,15867270,,,,,SP-1024 9x512 KV4 run at TRAIN_SEQ_LEN=2048 with tuned seq2048 learning rates (0.040/0.032/0.032). This standalone recor
2026-03-19_10L_MixedPrecision,2026-03-19,Nan Liu,10L Mixed Precision,1.214745,,15928974,,,,,10-layer 512-dim model with lower LR (MATRIX_LR=0.02) and mixed int8/int6 compression: full int8 for first/last 3 layers
2026-03-18_FP16Embed_WD3600,2026-03-18,Renier Velazco,FP16 Tied Embedding + LR/Warmdown Tuning,1.21972502,,15896222,,,,,Keep tok_emb.weight in fp16 during int8 quantization to eliminate the output-head quantization gap (0.007 -> 0.0005 BPB)
2026-03-18_LowerLR,2026-03-18,Nan Liu,Lower LR,1.22296644,,15854246,,,,,"Same 9x512 SP-1024 KV4 tied-embedding baseline architecture with lower Muon/Adam learning rates (MATRIX_LR=0.02, SCALAR_"
2026-03-17_NaiveBaseline,2026-03-18,Baseline,Naive Baseline,1.2243657,,15863489,,,,,SP-1024 9x512 KV4 run on pgut1 using the published Hugging Face fineweb10B_sp1024 export and the current train_gpt.py; s
